text,rev1,rev2,agreement,sense
"(universellement connu aujourd'hui, qui s'utilise à tout va juste par réflexe) * mdr (la version française non moins moche du précédent) * ptdr (lisez ""pété de rire"", c'est le stade où un sourire s'ébauche sur le visage du geek) * xpldr (voyez """,1,1,1,1
"de beau habille et de coiffure je trouve sa nulle </s><s> Lynsha : J adore ce jeu il est simple mais j'aime beaucoup </s><s> : Ils sont gavés moches les habits, ils pourraient mettre d'autres chose ! </s><s> Cavoline 333 : Ce jeu est tres bien mais je preferai que les manequene",1,1,1,1
"blessée et je fais de mon mieux pour la soigner. </s><s> Cela me prend un peu de temps et j'apprends son prénom, qui est très moche , Zorya, pas de nom de famille apparemment. </s><s> Cela doit être le surnom qu'elle a choisi, ce qui est dommage, elle aurait pu",1,1,1,1
chers le sont car ils sont vendus par de bons vendeurs ! et qu'ils ont un joli design... </s><s> Vous pouvez porter un masque moche . </s><s> Ou un masque design. </s><s> Ou un masque cher.. </s><s> Oui mais ce n'est pas très pratique </s><s> Ce sont de petits filtres pas chers qui se,1,1,1,1
"est efficace pour améliorer l'acoustique. </s><s> je sais comment tu a fait tenir les grilles, mais c'est très propre et pas moche du tout </s><s> Son Age : 63 Ville et C.P : MAILLY 89 et PUGET/ARGENS 83 Harley-Davidson : DELUXE 2014 Date d'inscription :",1,1,1,1
"🙂 </s><s> Mes talents de mannequins gagneraient à être inexploités... Mais mes talents de transformation d'un dimanche moche en dimanche drôlement rigolo, eux... euh... ils semblent plutôt innés! </s><s> Même Le Point! </s><s> Vous trouvez pas que mon foulard",1,1,1,1
"les élucubrations d'un ""Calmos"" (au hasard), plus satirique et contestataire encore, plus glauque aussi, l'affiche moche à pleurer dégage assez bien pourtant le sentiment de mélasse et de révolte qui s'y étale. </s><s> Brûlot anarchique dans un",1,1,1,1
"il veut reprendre DB. </s><s> Si c'est poussé pour ses éditeurs car ils manquent de saga fructueuses, ce serait très moche , mais vu qu'il y a une série comme OP ou dans une un peu moindre mesure, Naruto au Jump, j'ai du mal a y croire. </s><s> Si c'est de la",2,2,1,2
"au micro de TV2. </s><s> J'ai ruiné notre course à tous les deux, c'était de ma faute et j'accepte le blâme. </s><s> C'était vraiment moche et le fait de batailler en piste ne l'excuse pas. » </s><s> Malade, au lit avec un état grippal, le Norvégien n'a pas fait le",2,2,1,2
"plus vite oublié. </s><s> Est-ce dû à la disparition de la couleur dans le titre ? </s><s> Est-ce dû à la couverture particulièrement moche alors que les précédentes étaient magnifiques ? </s><s> Plus sérieusement, il me semble que cette histoire méritait plus d'",1,1,1,1
"nickel! </s><s> Otaku's store fait des choses sympas, mais c'est vrais qu'ils sont un peu chère. </s><s> Effectivement le jack c'est moche et ça fait un peu ""usine à gaz"" je trouve. </s><s> Puis si en plus ça fait des parasites c'est c.. </s><s> Manu1312 </s><s> Visiteur confirmé </s>",1,1,1,1
"de télécharger gratuitement l'appli, l'équipe précise la raison d'être du programme. </s><s> Be Real, « l'Instagram de la vie moche » </s><s> 🤳 C'est cette authenticité revendiquée qui a poussé le journal Le Monde a surnommé l'appli « l'Instagram de la vie",1,1,1,1
de Perrie. </s><s> Elle entrouvrit la bouche et me regarda. ▬ Non mais je suis trop une bonne photographe ! </s><s> Par contre toi t'es moche regarde. </s><s> Elle me tendit l'appareil et je regardai la photo. </s><s> Je lui tapai l'épaule et lui tirai la langue ▬ C'est toi qui es,1,1,1,1
"aimes tu t'en fous ( même si faut avouer, ça nous fait chier de la porter en sa présence parce qu'on se dit OKAY il me trouve moche avec ces fringuess ), en plus la robe blanche et orange te va vraiment bien, ça te donne un côté vintage !!! </s><s> Puis le collier",1,1,1,1
"_Baisse de pris du cannabis _Augmentation du salaire des revendeurs _port du string obligatoir _cagoule pour les moches _VODKA gratuite à partir de 8 heures _1 chaine gratuite dédiée aux conneries (south park, les griffins, les simpsons",1,1,1,1
". </s><s> Stéphan </s><s> Ben moi dans tous les cas, perso je virerais le Sticker "" D "" .. car c'est inapproprié et c'est LE détail bien moche sur ton auto alors que TOUT le reste est NICKEL (Enfin, à mes yeux). </s><s> Et la plus belle config' d'un Brillant Rot à mes yeux",1,1,1,1
"y a une personne qui me comprend...J'ai 17 ans et j'ai les cheveux bouclés de couleur bruns, je suis mince et je me trouve moche mais ma sœur de cœur me dit tous les jour que je suis belle... Estelle: Je suis une fille qui dit tous ce qu'elle pence mais",1,1,1,1
"pas""[5]. </s><s> La violence du père se manifeste également à l'égard de Claudine : « elles se ressemblent mais y en a une qui est moche . </s><s> Non ? </s><s> C'est drôle quand même, ça tient à presque rien, c'est simplement cette lueur bovine qu'elle a dans le regard, ça",1,1,1,1
"quand ça s'en va...? </s><s> Ça fait comment quand tu te prends le monde en pleine face, que c'est pas beau à voir, presque aussi moche que toutes les images et les envies morbides qui tournent en boucle, là, et ne te laissent jamais tranquille...? </s><s> Ça Lire",3,1,0,1
"quelques seconde je vois déjà 2 scenes et poses iconiques. je sens que ce film va être dantesque. </s><s> Les poster sont pas plus moche que d'autre films, le problème des images ultra Photoshopé... Seul les affiches Imax vaudront le coup visuellement je",1,1,1,1
"fille la plus cliché du monde. </s><s> Ou même de l'univers, si tu veux. </s><s> Comment on peut être amoureux de moi ? </s><s> Une jeune de 16ans, moche , grosse, et quelque peu immature. </s><s> Une fille qui n'arrive pas à dormir sans avoir une lumière près d'elle. </s><s> Une fille qui",1,1,1,1
"<s> Je ne connais pas celui-ci mais tu parviens à le rendre sympathique alors que, franchement, les nouveaux pokémons sont moches . </s><s> On voit que tu as acquis de nouvelles capacités techniques et des outils. </s><s> S'ils étaient mis au service d'histoires, il",1,1,1,1
"de devenir millionnaire et niker le systeme. </s><s> Voilà en fait pourquoi je continue. </s><s> L'argent facile...oui je sais ,c'est moche . </s><s> Le probleme c'est que si tu ne nikes pas le systeme avec le poker (500K minimum) c'est lui qui t'auras bien niké. </s><s> Donc",2,2,1,2
"un emploi quasi-verbal (sans verbe). </s><s> D'ailleurs, dans cet exemple, une phrase ""classique"" serait bien plus lourde et moche : Va kurenik titlanis va impadimak rozayar ou pire Va kurenik dan va impadimak titlaniyir in rozayar </s><s> Da çhœlnă ed",1,1,1,1
"dix ans auparavant. </s><s> Pendant que tu te laves les mains, tu regardes ton visage. </s><s> T'as bien vieilli. </s><s> Tu te trouves pas trop moche mais tu vois déjà les rides qui apparaissaient. </s><s> Et ouais mon gars, même à 30 ans et des poussières ça se voit. </s><s> T'as tout de",1,1,1,1
moi aussi la peine de l'écouter en magasin ou ailleurs ! _________________ http://www.photo-capture.fr </s><s> andrea est moche comme ca. </s><s> Sinon pour la chanson j'accroche pas du tout...ca sent le bide commercial. </s><s> oui mais le style d'Andrea c'est,1,1,1,1
les autres mew mew et en même temps faut se battre(super la vie).vers le milieu de l'anime on a le chevalier bleu(il est moche je préfère elliot=ryo quitte a faire sa)qui va sauver ichigo=zoey a chaque qu'elle sera en danger(ppppfffff).ichigo,1,1,1,1
!!!!!!! </s><s> c'est certainement pas le chasseur sous marin avec son harpon qui va tué la collonie de poisson alors oaui c'est moche de chassé des espece protégées! mais le plus moche c'est qu'on va faire chié le petit bléreau qui a tiré un merou plutot,2,2,1,2
"leur arrivée il y a 3 – 4 ans. </s><s> Je prends 8 kilos en un an, j'atteins les 63 kilos et je touche le fond... Je me deteste, je suis moche et grosse, ma meilleure amie, un belle rondelette devenue anorexique donc mince, tombe amoureuse, je suis seule, je",1,1,1,1
"– Roumanie 20h45 : France – Italie </s><s> c'est laid mais c'est cool ! la première impression quand on y joue c'est 'oh qu'c'est moche !' et puis après on y joue, on commence à s'amuser et on le fini . l'ambiance du jeu est cool (ghetto,new-york)avec la",1,1,1,1
"tellement chien!!!! </s><s> J'ai dit ça un peu pour plaisanter parce que je ne me considère pas non plus comme horriblement moche , même si c'est vrai que j'ai dû mal à me sentir belle... En fait j'hésite à mettre ma photo en grande partie parce que n'",1,1,1,1
"car de toi ils sont si fiers </s><s> Message Joyeux Noël humour noir </s><s> Que ton réveillon soit très triste, tes cadeaux pourris et moches Que la bûche et le repas soient dégueulasses et que le sapin prenne feu Que le Père Noël oublie ta sale demeure! </s><s> Toi qui es",1,1,1,1
"! 🙂 Je me pose 2 questions : * Comment gardes tu le contrôle de tes images ? (aucune mention dessus, j'avoue c'est moche mais bon, ni de blocage du clic droit, peu efficace mais c'est toujours ça) * Je vais faire l'acquisition de Lightroom et",2,2,1,2
"très grompf ce week-end ! </s><s> rhôôôô, ton commentaire m'a fait trop plaisir, *câlin* merci, la déco d'avant était vraiment moche ! mais non, elle est coule ta déco ! j'adore l'écriture de ta bannière mais siiiiiiiiiiiiiiiiiiii j'écoute de la",1,1,1,1
"<s> Non je déconne mdr!! </s><s> Un peignoir usage à 1800€ ... même officiel... non merci! </s><s> en plus c'est pas pour dire mais il est moche , suffit d'acheter un peingnoir et d'aller le faire broder, t'a la meme chose pour moins cher ! </s><s> SarahMelyne </s><s> Langue",1,1,1,1
"semaine :D Nouveauté : Chapitre XX et XXI en ligne (art.3, p.3) ^^ </s><s> jubianara a écrit : ""ta trop raisons il sont trop moche ensemble le greyju c le plus top"" </s><s> Je sais je sais 8D , hum hum soyons sérieux u_u . . . </s><s> Je suis tout à fait d'accord avec toi =D </s>",1,1,1,1
"à Ewok, les nounours en peluche de Star Wars 6^^ Remarque, si on le fait à la frenchie, ça donne WENR, c'est encore plus moche , alors on va garder WIOK^^ Vive Roonil ! </s><s> La WIOK ? </s><s> Ca, c'est un nom du tonnerre Of course que j'adhère ! </s><s> Même sans écrire sur",1,1,1,1
". </s><s> Tu as entendu ce qu'a dit le médecin ? - Ce vieux chnoque ? </s><s> Je me fiche de ce qu'il a bien pût dire. - Lilly... - Il était bête, moche et en plus il puait. - Là n'est pas la question enfin !! </s><s> Tu vas avaler cette chose, j'en fais le serment. </s><s> L'homme saisit la",1,1,1,1
servi là..! toujours bien sexy avec leur look un peu junk.. moi j'adhère ^_^ </s><s> roooooo des gonzesses partout oO' et pas des moches en plus !!! youhou!! c la fete du slip ^^ hihi! trop trop beau ces crobards !!!! :D energiques comme on aime!! et sexy en,1,1,1,1
"que les recruteurs étaient plus pervers que des dentistes. </s><s> Qu'ils fouettent leur femme de leur cravatte la plus moche le soir en hurlant « Donnes moi tes 5 défauts, 5 qualités ! » Non, non, les recruteurs sont mes amis. </s><s> Surtout quand ils me",1,1,1,1
"couple, ça je connais... </s><s> – Ah ouais ? </s><s> Fit-il surpris. </s><s> – C'est bizarre, pourtant tu es plutôt joli garçon, il y a bien plus moche que toi. </s><s> Il faut avouer que ce compliment était d'une nature assez étrange. </s><s> Un garçon disant cela à un autre garçon. </s><s> C'",1,1,1,1
"réalistes et assez jolies : </s><s> Attention : c'est très subjectif mais çà reste de l'artificiel que certains trouveront moche , d'autres magnifique. </s><s> Petit bonus (hors DIY) pour la fameuse pampa mais en version artificielle : </s><s> Par contre, tu",1,1,1,1
"j'ai 85kg c'est trop. </s><s> Une autre personne pourrait penser: 85kg c'est trop, je ne vais plus rentrer dans mon jean, je suis moche , mon mari va me tromper. </s><s> – Ces pensées amènent à des EMOTIONS. </s><s> Ce sont des manifestations de notre corps, une sorte de «",1,1,1,1
contre army en mec.... ca ne le fait pas </s><s> Sujet: Screen divers Lun 2 Avr - 9:09 </s><s> C'est sur que mon perso en mec c'est vraiment moche !!!! </s><s> C'est pas pour rien que je je suis une fille et que je ne fait que des perso fille !!! </s><s> On dirai un PD mon perso en mec XD </s>,1,1,1,1
"commercial et nous avertit qu'il dépassera la vision esthétique – bien réelle mais réductrice – d'une « France moche » des entrées de ville dans laquelle la voiture est reine, circulant bon gré mal gré entre des « boîtes à chaussures »",1,1,1,1
"la partie il leur raconta ce qu'il lui est arrivé juste avant de venir chez les Walcott. </s><s> - Waouh, bah elle n'est pas moche ! </s><s> Dit Theo en regardant la carte d'identité de Melina. </s><s> Melanie le tapa gentiment et prit la carte. </s><s> - C'est vrai qu'elle",1,1,1,1
"LE jeu qui vaut le coup d'être testé rien que pour les discus sur le chan central </s><s> J'aimeJe n'aime pas </s><s> Gears of War : </s><s> C'est moche (je parle d'un point de vue artistique), l'univers et la thématique ne sont pas des plus recherchées, ça fait beaucoup",1,1,1,1
"marquer le coup/ </s><s> Metaphore54 </s><s> Il ne fallait pas 7 ans pour produire un jeu à l'époque. </s><s> trollkien </s><s> Rien a faire, je la trouve moche comme un boitier tour que l'on planque sous son bureau... </s><s> dredd </s><s> Nyzen </s><s> Tu penses à quels jeux concernant ces consoles ? </s>",1,1,1,1
"moments. 3 années de présence en Ile de France ont eu raison de la Deauville.....je m'explique : entre le temps souvent moche , le fait que j'aille bosser a pied, et les dangers de la circulation ""parisienne"" la moto ne sortait pratiquement plus",1,1,1,1
"tombé amoureux du Berlingo 3. </s><s> Ce coffre :bave: Ma femme ne veut pas de ludospace et je la comprends car ils sont toujours moches . </s><s> Mais celui-la avec son look de camion/SUV, ses options, son Puretech 130 + EAT8, son intérieur modulable et plutôt",1,1,1,1
"(et elle nous le prouvera) puisqu'ici on jurerait un jeu Mega Drive à peine mieux fini (il suffit de voir ces décors un peu moches , aux couleurs criardes, ces animations faites à l'arrache ou ces 2 héros au design ridicule pour s'en convaincre). </s>",1,1,1,1
"! t'as vu la tronche des freins !? ils sont bien datés aussi. </s><s> La guidoline je ne sais pas trop quoi faire, c'est tellement moche .... </s><s> Superbe prise! </s><s> La série sachs new success n'est pas très courante mais est plutôt robuste et a son style </s><s> Noir au",1,1,1,1
"pas qu'on sent fout des défauts et de l'opinion des autres, quand on aime quelqu'un. </s><s> Si vous sortez avec une fille dite « moche », les gens qui critiquent seront seulement des personnes qui rêvent de sortir avec quelqu'un, et qui sont jalouses de",1,1,1,1
"nous, pauves Occidentaux: nous n'avons plus rien compris depuis Descartes. </s><s> Je n'ai jamais dit que Versailles était moche , puisque Versailles n'est pas une calligraphie. </s><s> L'esthétique occidental n'est pas monolythique, et il a un succès",1,1,1,1
la mission principale de pleins de façons différentes et il reste bien optimisé et surtout un optimisation cohérente ( moche en low et très beau en ultra). </s><s> Phantom pain reste l'un des jeux que j'attend le plus surtout pour le coup où l'on peut,1,1,1,1
une pratique... la est toute la difference mon petit! ton commentaire a un petit relent d'antisemitisme.... c est moche ! </s><s> Vous n'avez qu'à donner vous même. </s><s> La charité chrétienne doit s'exprimer avec l'argent des chrétiens pas celui des,2,2,1,2
", https://www.cnrtl.fr/definition/risque. </s><s> Articles connexes </s><s> Challenge pull moche de Noël ! </s><s> 19 décembre 2018 </s><s> L'origine du « pull moche de Noël » </s><s> Créé en 2002, « le pull moche de Noël », de l'anglais « ugly",1,1,1,1
il y a un clause de confidentialité qui interdit de duvulger quelques infos dont on a la connaissance. </s><s> Donc oui c'est moche mais de la à crier au scandale... Faut apprendre à lire son contrat car on le signe donc en soit Orange et dans son droit,2,1,0,2
". </s><s> Il est vrai que là, ça a l'air sévère. </s><s> Oui je ne connaissais pas ce terme mais pour un plateau qui a joué 4 jours c'est moche !! </s><s> Bonjour, voici une photo du Star Wars prise à lomme le 24 juillet. </s><s> Il y a des impacts de billes sur tout le plateau. .. </s>",1,1,1,1
intéressant même si je pense il y aurais pu y avoir quelques ajouts mais la je ne suis pas ... </s><s> En ce samedi matin aussi moche que toute la semaine question météo voici la 112 Éditions des Top Liens Du Net. </s><s> Au menu cette semaine d... </s><s> Le monde du web,1,1,1,1
"n'est pas le même et que donc, les compagnies n'y perdent pas vraiment. </s><s> Daenerys, perso, les BJD low cost, je les trouve moches pour la plupart et je dois pas être la seule à penser ça apparemment... Celles qui me tapent dans l'oeil sont souvent des",1,1,1,1
"... je dirais plutôt qu'elle est jolie dans sa tenue non ?;) </s><s> En tout cas Karine Ferri a gagné la palme du pantalon le plus moche du monde ! </s><s> Le cocktail à la mode est composé : la vieille bimbo ridicule , le clone insupportable des cagoles de télé",1,1,1,1
belle que tous à l'heure Hugo: Mais comment je vais faire pour pas quelle sois belle Clément: Pourquoi tu veux la rendre moche ??? </s><s> Hugo: Pour pas quelle se fasse drague dans la rue Antoine: Bin se trop tard Hugo: Comment ça se trop tard Mendji: Bin,1,1,1,1
"à l'affecter. </s><s> Si si) et que Tauriel est vraiment vraiment cool (et que quite à prendre une fille ils ont pas pris la plus moche o/) </s><s> ♦ Guerrier ♦ </s><s> Je suis qu'à moitié d'accord, pour le côté Google traduction des araignées, parce que ça aide quand même",1,1,1,1
aient confiance en elles). </s><s> - On les a très peu mises dans les transats (bon ok c'est aussi parcequ'ils étaient vieux et moches !!) Du coup elles ont très vite cherché à voir autre chose que le sol et le plafond et étaient très motivées pour relever,1,1,1,1
?m...&key=ebf699fac3 de 5 http://r3.fr.bloodwars.net/showmsg.php?m...&key=30193dff14 La dernière est moche je l'avous mais de la a dire qu'on ne vous envois que des poubelles faut arrêter </s><s> Moria = Alԑssa </s><s> Ce message a été modifié 3,1,1,1,1
"les pentes caillouteuses ouest jusqu'à un replat. </s><s> De là à flahc jusqu'à la cabane Coaz 2610 m ! </s><s> La météo annonçait moche le Lundi et beau ensuite..; nous etions mardi et il faisait moche ! </s><s> Gris... pas beau ! </s><s> Le déjeuner englouti, tout le monde",1,1,1,1
"justement car j'aime pas les France-Italie c'est tout ... donc je suis content du resultat , et meme si le match etait moche , c'est pas grave ... </s><s> PS.: J'ai compris ... et j'affirmerai pas que l'espagne est plus dure que les ritals, d'ailleurs je",1,1,1,1
ménage chez dc et de l'acteur principal. </s><s> Le dernier film de l'ancienne ère. </s><s> pharrell Star wars déjà à la sortie c'était moche sauf la revanche des sith . </s><s> Et la trilogie Snyder va mieux vieillir que n'importe quels fims de super héros. </s><s> bigsnake moi,1,1,1,1
"1984 Golf 2 C LA5Z 1984 </s><s> Je les ferais noir mat ! </s><s> Pour les pneus, 185/45, le 165/50 étant un peu hard et le 195/50 étant un peu moche _________________ Objects in mirror are losing </s><s> Merci pour ton avis Pour les pneus, j'ai du 7x15 actuellement monté en",1,1,1,1
": en effet, ayant suivit le schema comme un labyrinthe, je me suis retrouvé dans la case ""identitaire"" (d'un gris tout moche , brrr!). </s><s> Or les Identitaires officiels, sont régionalistes, voire même antifrançais (suffit de visiter le moindre",1,1,1,1
"coupe du monde sympa, mais comme d'hab avec EA sports, too much (comme le trop de confetis, et en plus ils sont trop moche sur la pelouse, genre flou N64), j'ai pas noté de différence avec FIFA 09. mais bon je me prétends pas expert. j'ai gagné",1,1,1,1
"vous dit qu'une telle est jolie et qu'il ne vous adresse pas le même compliment, comprenez-vous qu'il vous trouve moche ? </s><s> Soyez à l'affût des moments où cela se produit et appliquez le modèle ABCDE à la situation. </s><s> Voici un exemple. </s><s> Le patron",1,1,1,1
"tête à tête est en coton bleu clair style jean avec bords cousus, parfait pour créer une déco chic et stylée. </s><s> Arf, c'est moche . </s><s> C'est pas très ""fair-play"" de la part du vendeur s'il t'avait dit oui. </s><s> Mais bon, je peux aussi comprendre que 6 billets",1,1,1,1
"donc l'appeler 3 fois (mais, après chaque appel, vous devez également vérifier si quelque chose a été trouvé). </s><s> Un peu moche , mais une approche alternative (aux autres déjà postées) qui fonctionne: </s><s> Voici une implémentation récursive (pour",2,1,0,2
"du tout, c'est un peu une Yuri/Sooyoung bis, voix sympatoche mais du mal à tenir la mélodie correctement et à force c'est moche ... (je zappe biensûr les moments où Hyomin ne chante pas certaines parties parce qu'elle n'en est pas capable) Et",1,1,1,1
"devient vraiment une intégrale Wanroij. </s><s> Douglas Williams, oui, énigme pour moi : pas de son, pas de graves, timbre moche , français moyen, pas d'incarnation... Il se laisse plutôt bien regarder (grand, svelte, un brin ténébreux), mais",1,1,1,1
"K-O ! </s><s> Retrouve Wilkinson sur http://www.wilkinsonbutterflyeffect.fr/ ! </s><s> On est toutes d'accord : les poils, c'est moche et on aimerait s'en débarrasser ! </s><s> En plus, parfois, ça fout la honte... Pfff, trop relou ! </s><s> Imagine 1 seconde : tu vois ta",1,1,1,1
", JML. à plus. </s><s> philumax </s><s> Par loulmalet Le 14/06/2012 à 15:05:33 </s><s> Salut, [ Mode coup de gueule ON ] Que dire ? </s><s> Bah, c'est moche comme je m'y attendais .... Surtout que le motif de la réponse négative est vraiment à la limite du ridicule ... Comment",2,1,0,1
"sélection du prestigieux concours européen comprend deux programmes web : Génération Quoi et Hors-Jeu. </s><s> BD : Une Vie de Moche – Le portrait d'une femme, le portrait de 60 ans d'Histoire, le portrait d'une différence ! </s><s> Un roman graphique qui nous",1,1,1,1
"hebdo et dites à tous vos amis que vous souhaitez voir de nouvelles têtes. </s><s> « J'avais eu le Covid, j'étais blanc, moche et fatigué et étrangement, l'ami d'enfance du fromager qui ouvrait dans mon quartier m'a trouvé romantique » explique",1,1,1,1
sais même pas comment je fais pour te parler sale pute. </s><s> Je comprends que Tom se foute de ta gueule. </s><s> T'es tellement nulle et moche que personne ne veut de toi. </s><s> Alors tu te venges sur les enfants qui sont mieux que toi ; ça me dégoute. </s><s> Blam. </s><s> Une grande,1,1,1,1
"et courage. </s><s> Pour finir Daria (oui c'est moi !), et bien touffe de cheveux, grain de beauté au milieu du front (je trouve ça moche , la vie est mal faite), j'ai des grosses cuisses et je boude. </s><s> C'est tout moi ! </s><s> Jane ne figure pas sur ce dessin puisqu'elle",1,1,1,1
